country_name,country_code,year,population,electricity_twh,avg_temp,population_growth,population_growth_pct,electro_growth,electro_growth_pct,temp_growth,temp_growth_pct,electro_per_capita_kwh
Afghanistan,AFG,2000,20130327,0.48,13.46,NULL,NULL,NULL,NULL,NULL,NULL,23.84
Afghanistan,AFG,2001,20284307,0.69,13.8,153980,0.76,0.21,43.75,0.34,2.53,34.02
Afghanistan,AFG,2002,21378117,0.71,13.61,1093810,5.39,0.02,2.9,-0.19,-1.38,33.21
Afghanistan,AFG,2003,22733049,0.91,13.11,1354932,6.34,0.2,28.17,-0.5,-3.67,40.03
Afghanistan,AFG,2004,23560654,0.79,13.87,827605,3.64,-0.12,-13.19,0.76,5.8,33.53
Afghanistan,AFG,2005,24404567,0.82,13.14,843913,3.58,0.03,3.8,-0.73,-5.26,33.6
Afghanistan,AFG,2006,25424094,0.9,13.89,1019527,4.18,0.08,9.76,0.75,5.71,35.4
Afghanistan,AFG,2007,25909852,1.01,13.48,485758,1.91,0.11,12.22,-0.41,-2.95,38.98
Afghanistan,AFG,2008,26482622,0.78,13.63,572770,2.21,-0.23,-22.77,0.15,1.11,29.45
Afghanistan,AFG,2009,27466101,0.89,13.68,983479,3.71,0.11,14.1,0.05,0.37,32.4
Afghanistan,AFG,2010,28284089,0.88,14.01,817988,2.98,-0.01,-1.12,0.33,2.41,31.11
Afghanistan,AFG,2011,29347708,0.77,13.55,1063619,3.76,-0.11,-12.5,-0.46,-3.28,26.24
Afghanistan,AFG,2012,30560034,0.88,12.92,1212326,4.13,0.11,14.29,-0.63,-4.65,28.8
Afghanistan,AFG,2013,31622704,1.11,13.89,1062670,3.48,0.23,26.14,0.97,7.51,35.1
Afghanistan,AFG,2014,32792523,1.16,13.33,1169819,3.7,0.05,4.5,-0.56,-4.03,35.37
Afghanistan,AFG,2015,33831764,1.18,13.66,1039241,3.17,0.02,1.72,0.33,2.48,34.88
Afghanistan,AFG,2016,34700612,1.21,14.19,868848,2.57,0.03,2.54,0.53,3.88,34.87
Afghanistan,AFG,2017,35688935,1.26,13.82,988323,2.85,0.05,4.13,-0.37,-2.61,35.31
Afghanistan,AFG,2018,36743039,1.17,14.25,1054104,2.95,-0.09,-7.14,0.43,3.11,31.84
Afghanistan,AFG,2019,37856121,1.07,13.58,1113082,3.03,-0.1,-8.55,-0.67,-4.7,28.26
Afghanistan,AFG,2020,39068979,0.8,12.91,1212858,3.2,-0.27,-25.23,-0.67,-4.93,20.48
Afghanistan,AFG,2021,40000412,0.83,14.28,931433,2.38,0.03,3.75,1.37,10.61,20.75
